Timestamp,Value,Year,Month,Day,Hour,Date
2024-11-15 21:00:00+12:00,1.1,2024,11,15,21,2024-11-15
2024-11-15 22:00:00+12:00,2.9,2024,11,15,22,2024-11-15
2024-11-15 23:00:00+12:00,2.0,2024,11,15,23,2024-11-15
2024-11-16 00:00:00+12:00,1.7,2024,11,16,0,2024-11-16
2024-11-16 01:00:00+12:00,5.851673640167364,2024,11,16,1,2024-11-16
2024-11-16 02:00:00+12:00,0.8,2024,11,16,2,2024-11-16
2024-11-16 03:00:00+12:00,1.4,2024,11,16,3,2024-11-16
2024-11-16 04:00:00+12:00,1.3,2024,11,16,4,2024-11-16
2024-11-16 05:00:00+12:00,2.2,2024,11,16,5,2024-11-16
2024-11-16 06:00:00+12:00,7.8,2024,11,16,6,2024-11-16
2024-11-16 07:00:00+12:00,1.8,2024,11,16,7,2024-11-16
2024-11-16 08:00:00+12:00,2.8,2024,11,16,8,2024-11-16
2024-11-16 09:00:00+12:00,1.4,2024,11,16,9,2024-11-16
2024-11-16 10:00:00+12:00,2.5,2024,11,16,10,2024-11-16
2024-11-16 11:00:00+12:00,2.8,2024,11,16,11,2024-11-16
2024-11-16 12:00:00+12:00,4.4,2024,11,16,12,2024-11-16
2024-11-16 13:00:00+12:00,3.7,2024,11,16,13,2024-11-16
2024-11-16 14:00:00+12:00,3.3,2024,11,16,14,2024-11-16
2024-11-16 15:00:00+12:00,1.7,2024,11,16,15,2024-11-16
2024-11-16 16:00:00+12:00,1.6,2024,11,16,16,2024-11-16
2024-11-16 17:00:00+12:00,1.2,2024,11,16,17,2024-11-16
2024-11-16 18:00:00+12:00,1.2,2024,11,16,18,2024-11-16
2024-11-16 19:00:00+12:00,0.9,2024,11,16,19,2024-11-16
2024-11-16 20:00:00+12:00,1.5,2024,11,16,20,2024-11-16
2024-11-16 21:00:00+12:00,2.3,2024,11,16,21,2024-11-16
2024-11-16 22:00:00+12:00,4.6,2024,11,16,22,2024-11-16
2024-11-16 23:00:00+12:00,8.5,2024,11,16,23,2024-11-16
2024-11-17 00:00:00+12:00,15.8,2024,11,17,0,2024-11-17
2024-11-17 01:00:00+12:00,7.8,2024,11,17,1,2024-11-17
2024-11-17 02:00:00+12:00,5.2,2024,11,17,2,2024-11-17
2024-11-17 03:00:00+12:00,6.2,2024,11,17,3,2024-11-17
2024-11-17 04:00:00+12:00,7.4,2024,11,17,4,2024-11-17
2024-11-17 05:00:00+12:00,3.9,2024,11,17,5,2024-11-17
2024-11-17 06:00:00+12:00,2.5,2024,11,17,6,2024-11-17
2024-11-17 07:00:00+12:00,4.6,2024,11,17,7,2024-11-17
2024-11-17 08:00:00+12:00,5.1,2024,11,17,8,2024-11-17
2024-11-17 09:00:00+12:00,5.5,2024,11,17,9,2024-11-17
2024-11-17 10:00:00+12:00,5.2,2024,11,17,10,2024-11-17
2024-11-17 11:00:00+12:00,4.0,2024,11,17,11,2024-11-17
2024-11-17 12:00:00+12:00,5.0,2024,11,17,12,2024-11-17
2024-11-17 13:00:00+12:00,5.8,2024,11,17,13,2024-11-17
2024-11-17 14:00:00+12:00,9.5,2024,11,17,14,2024-11-17
2024-11-17 15:00:00+12:00,6.4,2024,11,17,15,2024-11-17
2024-11-17 16:00:00+12:00,5.3,2024,11,17,16,2024-11-17
2024-11-17 17:00:00+12:00,4.8,2024,11,17,17,2024-11-17
2024-11-17 18:00:00+12:00,4.8,2024,11,17,18,2024-11-17
2024-11-17 19:00:00+12:00,5.2,2024,11,17,19,2024-11-17
2024-11-17 20:00:00+12:00,7.2,2024,11,17,20,2024-11-17
2024-11-17 21:00:00+12:00,6.2,2024,11,17,21,2024-11-17
2024-11-17 22:00:00+12:00,2.6,2024,11,17,22,2024-11-17
2024-11-17 23:00:00+12:00,3.1,2024,11,17,23,2024-11-17
2024-11-18 00:00:00+12:00,4.2,2024,11,18,0,2024-11-18
2024-11-18 01:00:00+12:00,5.851673640167364,2024,11,18,1,2024-11-18
2024-11-18 02:00:00+12:00,3.4,2024,11,18,2,2024-11-18
2024-11-18 03:00:00+12:00,4.1,2024,11,18,3,2024-11-18
2024-11-18 04:00:00+12:00,5.2,2024,11,18,4,2024-11-18
2024-11-18 05:00:00+12:00,14.7,2024,11,18,5,2024-11-18
2024-11-18 07:00:00+12:00,16.9,2024,11,18,7,2024-11-18
2024-11-18 09:00:00+12:00,7.7,2024,11,18,9,2024-11-18
2024-11-18 10:00:00+12:00,6.1,2024,11,18,10,2024-11-18
2024-11-18 11:00:00+12:00,8.9,2024,11,18,11,2024-11-18
2024-11-18 12:00:00+12:00,7.5,2024,11,18,12,2024-11-18
2024-11-18 13:00:00+12:00,7.2,2024,11,18,13,2024-11-18
2024-11-18 14:00:00+12:00,7.0,2024,11,18,14,2024-11-18
2024-11-18 15:00:00+12:00,6.8,2024,11,18,15,2024-11-18
2024-11-18 16:00:00+12:00,5.9,2024,11,18,16,2024-11-18
2024-11-18 17:00:00+12:00,6.8,2024,11,18,17,2024-11-18
2024-11-18 18:00:00+12:00,5.3,2024,11,18,18,2024-11-18
2024-11-18 19:00:00+12:00,7.1,2024,11,18,19,2024-11-18
2024-11-18 20:00:00+12:00,13.1,2024,11,18,20,2024-11-18
2024-11-18 21:00:00+12:00,6.7,2024,11,18,21,2024-11-18
2024-11-18 22:00:00+12:00,8.4,2024,11,18,22,2024-11-18
2024-11-18 23:00:00+12:00,12.5,2024,11,18,23,2024-11-18
2024-11-19 00:00:00+12:00,7.8,2024,11,19,0,2024-11-19
2024-11-19 01:00:00+12:00,6.1,2024,11,19,1,2024-11-19
2024-11-19 02:00:00+12:00,7.2,2024,11,19,2,2024-11-19
2024-11-19 03:00:00+12:00,7.4,2024,11,19,3,2024-11-19
2024-11-19 04:00:00+12:00,10.1,2024,11,19,4,2024-11-19
2024-11-19 05:00:00+12:00,15.0,2024,11,19,5,2024-11-19
2024-11-19 08:00:00+12:00,15.4,2024,11,19,8,2024-11-19
2024-11-19 09:00:00+12:00,9.8,2024,11,19,9,2024-11-19
2024-11-19 10:00:00+12:00,8.8,2024,11,19,10,2024-11-19
2024-11-19 11:00:00+12:00,5.851673640167364,2024,11,19,11,2024-11-19
2024-11-19 12:00:00+12:00,5.851673640167364,2024,11,19,12,2024-11-19
2024-11-19 13:00:00+12:00,5.851673640167364,2024,11,19,13,2024-11-19
2024-11-19 14:00:00+12:00,5.851673640167364,2024,11,19,14,2024-11-19
2024-11-19 15:00:00+12:00,5.851673640167364,2024,11,19,15,2024-11-19
2024-11-19 16:00:00+12:00,5.851673640167364,2024,11,19,16,2024-11-19
2024-11-19 17:00:00+12:00,5.851673640167364,2024,11,19,17,2024-11-19
2024-11-19 18:00:00+12:00,5.851673640167364,2024,11,19,18,2024-11-19
2024-11-19 19:00:00+12:00,5.851673640167364,2024,11,19,19,2024-11-19
2024-11-19 20:00:00+12:00,5.851673640167364,2024,11,19,20,2024-11-19
2024-11-19 21:00:00+12:00,5.851673640167364,2024,11,19,21,2024-11-19
2024-11-19 22:00:00+12:00,5.851673640167364,2024,11,19,22,2024-11-19
2024-11-19 23:00:00+12:00,5.851673640167364,2024,11,19,23,2024-11-19
2024-11-20 00:00:00+12:00,5.851673640167364,2024,11,20,0,2024-11-20
2024-11-20 01:00:00+12:00,5.851673640167364,2024,11,20,1,2024-11-20
2024-11-20 02:00:00+12:00,5.851673640167364,2024,11,20,2,2024-11-20
2024-11-20 03:00:00+12:00,5.851673640167364,2024,11,20,3,2024-11-20
2024-11-20 04:00:00+12:00,5.851673640167364,2024,11,20,4,2024-11-20
2024-11-20 05:00:00+12:00,5.851673640167364,2024,11,20,5,2024-11-20
2024-11-20 06:00:00+12:00,5.851673640167364,2024,11,20,6,2024-11-20
2024-11-20 07:00:00+12:00,5.851673640167364,2024,11,20,7,2024-11-20
2024-11-20 08:00:00+12:00,5.851673640167364,2024,11,20,8,2024-11-20
2024-11-20 09:00:00+12:00,5.851673640167364,2024,11,20,9,2024-11-20
2024-11-20 10:00:00+12:00,5.851673640167364,2024,11,20,10,2024-11-20
2024-11-20 11:00:00+12:00,5.851673640167364,2024,11,20,11,2024-11-20
2024-11-20 12:00:00+12:00,5.851673640167364,2024,11,20,12,2024-11-20
2024-11-20 13:00:00+12:00,5.851673640167364,2024,11,20,13,2024-11-20
2024-11-20 14:00:00+12:00,5.851673640167364,2024,11,20,14,2024-11-20
2024-11-20 15:00:00+12:00,5.851673640167364,2024,11,20,15,2024-11-20
2024-11-20 16:00:00+12:00,5.851673640167364,2024,11,20,16,2024-11-20
2024-11-20 17:00:00+12:00,5.851673640167364,2024,11,20,17,2024-11-20
2024-11-20 18:00:00+12:00,5.851673640167364,2024,11,20,18,2024-11-20
2024-11-20 19:00:00+12:00,5.851673640167364,2024,11,20,19,2024-11-20
2024-11-20 20:00:00+12:00,5.851673640167364,2024,11,20,20,2024-11-20
2024-11-20 21:00:00+12:00,5.851673640167364,2024,11,20,21,2024-11-20
2024-11-20 22:00:00+12:00,5.851673640167364,2024,11,20,22,2024-11-20
2024-11-20 23:00:00+12:00,5.851673640167364,2024,11,20,23,2024-11-20
2024-11-21 00:00:00+12:00,5.851673640167364,2024,11,21,0,2024-11-21
2024-11-21 01:00:00+12:00,5.851673640167364,2024,11,21,1,2024-11-21
